CCCNC(=O)c1ccccc1N*;S(=O)(=O)(c1ccc(SC)cc1);CCCNC(=O)c1ccccc1NS(=O)(=O)c1ccc(SC)cc1
Cc1c(Cl)cccc1N(S(C)(=O)=O)*;C(C(=O)NC1CCCCC1);Cc1c(Cl)cccc1N(CC(=O)NC1CCCCC1)S(C)(=O)=O
O=C([C@@H]1[C@H]2C(=O)O[C@@H]3C[C@H]1C[C@H]23)*;N(c1cc(Cl)ccc1Cl);O=C(Nc1cc(Cl)ccc1Cl)[C@@H]1[C@H]2C(=O)O[C@@H]3C[C@H]1C[C@H]23
Nc1ccccc1C(=O)N*;C(c1c(Cl)cccc1Cl);Nc1ccccc1C(=O)NCc1c(Cl)cccc1Cl
CCc1cc2c(C)cc(=O)oc2cc1*;O(CC(=O)c1ccccc1);CCc1cc2c(C)cc(=O)oc2cc1OCC(=O)c1ccccc1
Nc1nonc1C(=O)N*;C(COc1ccccc1);Nc1nonc1C(=O)NCCOc1ccccc1
N#Cc1ccc(Cl)cc1NC(=O)C*;O(c1ccc(F)c(F)c1);N#Cc1ccc(Cl)cc1NC(=O)COc1ccc(F)c(F)c1
c1ccc2c(c1)CCO[C@@H]2C[NH2+]*;C(CC[NH+]1CCCCC1);c1ccc2c(c1)CCO[C@@H]2C[NH2+]CCC[NH+]1CCCCC1
C[C@@H](OC(=O)C1CCCCC1)C(=O)*;N(c1ccc(C(N)=O)cc1);C[C@@H](OC(=O)C1CCCCC1)C(=O)Nc1ccc(C(N)=O)cc1
O=C(N*)c1cncc(Br)c1;C(c1ccc2c(c1)OCO2);O=C(NCc1ccc2c(c1)OCO2)c1cncc(Br)c1
CC(=O)c1c(C)[nH]c(*)c1C;C(=O)(OCC(=O)NC(C)C);CC(=O)c1c(C)[nH]c(C(=O)OCC(=O)NC(C)C)c1C
C[C@@H](C(=O)NC(C)(C)CO)*;O(c1ccc(Cl)cc1Cl);C[C@H](Oc1ccc(Cl)cc1Cl)C(=O)NC(C)(C)CO
O=C(Nc1nc2c(s1)CCCC2)*;C(S(=O)(=O)c1ccc(Cl)cc1);O=C(CS(=O)(=O)c1ccc(Cl)cc1)Nc1nc2c(s1)CCCC2
C[C@@H](C(=O)Nc1ccccc1F)*;O(c1cccc(Cl)c1Cl);C[C@H](Oc1cccc(Cl)c1Cl)C(=O)Nc1ccccc1F
O=C(NCc1ccc(F)cc1)*;C(Oc1cccc(Br)c1);O=C(COc1cccc(Br)c1)NCc1ccc(F)cc1
CC(C)n1nccc1NC(=O)C*;O(c1ccc(Cl)cc1Cl);CC(C)n1nccc1NC(=O)COc1ccc(Cl)cc1Cl
C=CCNC(=O)[C@@H]1CC=CC[C@H]1C(=O)*;N(c1ccc(OC)cc1);C=CCNC(=O)[C@@H]1CC=CC[C@H]1C(=O)Nc1ccc(OC)cc1
C[C@H](Sc1ncccc1C(=O)[O-])*;C(=O)(Nc1ccccc1F);C[C@H](Sc1ncccc1C(=O)[O-])C(=O)Nc1ccccc1F
O=C(c1cccc(F)c1)*;N(c1ccc(Cl)cc1F);O=C(Nc1ccc(Cl)cc1F)c1cccc(F)c1
NC(=O)CSc1ccccc1N*;C(=O)(CCc1ccccc1);NC(=O)CSc1ccccc1NC(=O)CCc1ccccc1
O=C(CCNC(=O)c1ccccc1Cl)N*;C(Cc1ccc(Cl)cc1);O=C(CCNC(=O)c1ccccc1Cl)NCCc1ccc(Cl)cc1
COc1cc(N)ccc1*;N(C(=O)c1ccccc1);COc1cc(N)ccc1NC(=O)c1ccccc1
COc1cc(NC(C)=O)c(Cl)cc1*;C(=O)(NCc1ccccc1);COc1cc(NC(C)=O)c(Cl)cc1C(=O)NCc1ccccc1
C[C@H](C(=O)N(C)c1ccccc1)*;S(c1nnc(C(F)(F)F)n1C);C[C@@H](Sc1nnc(C(F)(F)F)n1C)C(=O)N(C)c1ccccc1
O=C([O-])C[C@H]1C(=O)NCC[NH+]1*;C(c1ccc(F)cc1Cl);O=C([O-])C[C@H]1C(=O)NCC[NH+]1Cc1ccc(F)cc1Cl
C[C@H]1CCCC[C@@H]1NC(=O)C*;N(C)(S(=O)(=O)c1cccs1);C[C@H]1CCCC[C@@H]1NC(=O)CN(C)S(=O)(=O)c1cccs1
CC1=C(c2ccccc2)S(=O)(=O)N=C1*;N(c1ccc(F)cc1F);CC1=C(c2ccccc2)S(=O)(=O)N=C1Nc1ccc(F)cc1F
C[C@H]1Cc2ccccc2N1C(=O)C*;S(c1nnc2ccccn12);C[C@H]1Cc2ccccc2N1C(=O)CSc1nnc2ccccn12
O=C(CSc1n[nH]c(=O)[nH]c1=O)*;N(Cc1ccc(Cl)cc1);O=C(CSc1n[nH]c(=O)[nH]c1=O)NCc1ccc(Cl)cc1
Cc1[nH]c2ccccc2c1C(=O)C*;O(c1cccc2ccccc12);Cc1[nH]c2ccccc2c1C(=O)COc1cccc2ccccc12
C[C@H](N*)C(=O)Nc1ccc(Cl)c(Cl)c1;S(=O)(=O)(c1ccccc1);C[C@H](NS(=O)(=O)c1ccccc1)C(=O)Nc1ccc(Cl)c(Cl)c1
O=C(CSc1ccc2c(c1)OCCO2)*;N(c1ncc(Cl)cc1Cl);O=C(CSc1ccc2c(c1)OCCO2)Nc1ncc(Cl)cc1Cl
O=C(N1CCc2ccccc21)*;C(Oc1ccc(Cl)cc1Cl);O=C(COc1ccc(Cl)cc1Cl)N1CCc2ccccc21
O=C(Nc1nccs1)c1ccccc1*;O(Cc1cccc(Br)c1);O=C(Nc1nccs1)c1ccccc1OCc1cccc(Br)c1
C=CCNC(=O)[C@H]1CC=CC[C@H]1*;C(=O)(Nc1ccccc1C);C=CCNC(=O)[C@H]1CC=CC[C@H]1C(=O)Nc1ccccc1C
Cc1onc(-c2ccccc2)c1C(=O)*;O(Cc1ccc(Cl)cc1);Cc1onc(-c2ccccc2)c1C(=O)OCc1ccc(Cl)cc1
CSc1nc2ccccc2n1*;C([C@@H](O)c1ccccc1);CSc1nc2ccccc2n1C[C@@H](O)c1ccccc1
COc1cccc(OC)c1C(=O)*;O([C@H](C)C(=O)NC1CCCC1);COc1cccc(OC)c1C(=O)O[C@H](C)C(=O)NC1CCCC1
CN(C(=O)COC(=O)*)C1CCCCC1;C(Oc1ccccc1C#N);CN(C(=O)COC(=O)COc1ccccc1C#N)C1CCCCC1
C[C@@H](NC(=O)*)c1ccncc1;C(Oc1ccc(Br)cc1);C[C@@H](NC(=O)COc1ccc(Br)cc1)c1ccncc1
Cc1cc(Cl)c(Cl)cc1S(=O)(=O)*;N(c1ccc2cn[nH]c2c1);Cc1cc(Cl)c(Cl)cc1S(=O)(=O)Nc1ccc2cn[nH]c2c1
O=C(c1ccc2c(c1)OCCO2)*;N(c1nc2ccccc2[nH]1);O=C(Nc1nc2ccccc2[nH]1)c1ccc2c(c1)OCCO2
CC[C@@H](C(=O)*)c1ccccc1;N(c1cc(Cl)ccc1O);CC[C@@H](C(=O)Nc1cc(Cl)ccc1O)c1ccccc1
O=C(c1ccc(F)cc1)*;N(C1CCCCCCC1);O=C(NC1CCCCCCC1)c1ccc(F)cc1
O=C(c1cccc(F)c1)*;C(Cc1ccc(Cl)cc1);O=C(CCc1ccc(Cl)cc1)c1cccc(F)c1
O=C(COC(=O)c1ccc(Cl)c(Cl)c1)*;N(c1ccc(Cl)cc1F);O=C(COC(=O)c1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)cc1F
O=C(CSc1nc2ccccc2[nH]1)*;N(c1ccc(F)c(F)c1);O=C(CSc1nc2ccccc2[nH]1)Nc1ccc(F)c(F)c1
O=C(Nc1cc(F)ccc1F)*;C(OC(=O)c1ccc(F)cc1);O=C(COC(=O)c1ccc(F)cc1)Nc1cc(F)ccc1F
CCN(Cc1ccccc1)*;C(=O)(c1ccc(OC)cc1);CCN(Cc1ccccc1)C(=O)c1ccc(OC)cc1
CC(C)[C@@H](C(=O)Oc1ccc(F)cc1)*;N(C(=O)c1ccc(F)cc1);CC(C)[C@H](NC(=O)c1ccc(F)cc1)C(=O)Oc1ccc(F)cc1
O=C(CCc1ccccc1)N*;C([C@@H]1COC2(CCCCC2)O1);O=C(CCc1ccccc1)NC[C@@H]1COC2(CCCCC2)O1
CCOc1ccc(Cl)cc1C(=O)*;N(c1cc(C)ccc1O);CCOc1ccc(Cl)cc1C(=O)Nc1cc(C)ccc1O
O=C(CCc1ccccc1)O*;C(C(=O)c1ccc(F)cc1);O=C(CCc1ccccc1)OCC(=O)c1ccc(F)cc1
CN(CC*)C(=O)Nc1ccccc1;N(C)(C(=O)Nc1ccccc1);CN(CCN(C)C(=O)Nc1ccccc1)C(=O)Nc1ccccc1
O=C(Nc1ccc(Cl)c(Cl)c1)*;C(Oc1ccc(F)cc1);O=C(COc1ccc(F)cc1)Nc1ccc(Cl)c(Cl)c1
O=C([O-])[C@H]1CCCC[C@@H]1C(=O)*;N(c1ccc2ccccc2c1);O=C([O-])[C@H]1CCCC[C@@H]1C(=O)Nc1ccc2ccccc2c1
CCNC(=O)CN(c1ccccc1C)*;S(=O)(=O)(c1ccc(C)cc1);CCNC(=O)CN(c1ccccc1C)S(=O)(=O)c1ccc(C)cc1
CCc1cccc(C)c1NC(=O)[C@H](C)*;O(c1ccc(C#N)cc1);CCc1cccc(C)c1NC(=O)[C@H](C)Oc1ccc(C#N)cc1
O=C(C*)c1ccc(I)cc1;S(c1nc2ccccc2o1);O=C(CSc1nc2ccccc2o1)c1ccc(I)cc1
Cc1cc(C(F)(F)F)nn1[C@H](C)C(=O)*;N(c1nnc(C2CC2)s1);Cc1cc(C(F)(F)F)nn1[C@H](C)C(=O)Nc1nnc(C2CC2)s1
C[C@H](N*)c1nc2ccccc2[nH]1;C(=O)(c1ccc(Cl)cc1Cl);C[C@H](NC(=O)c1ccc(Cl)cc1Cl)c1nc2ccccc2[nH]1
O=C(CSc1ccccc1Cl)*;N(Cc1ccccc1Cl);O=C(CSc1ccccc1Cl)NCc1ccccc1Cl
O=C(COc1ccc(Cl)cc1Cl)N*;S(=O)(=O)(c1ccc(Cl)cc1);O=C(COc1ccc(Cl)cc1Cl)NS(=O)(=O)c1ccc(Cl)cc1
COc1ccc(C)cc1-n1nnnc1*;S(Cc1ccc(Br)cc1F);COc1ccc(C)cc1-n1nnnc1SCc1ccc(Br)cc1F
Cn1nnnc1SCC(=O)*;N(CCc1ccc(F)cc1);Cn1nnnc1SCC(=O)NCCc1ccc(F)cc1
O=C(Nc1ccc(Cl)cc1Cl)*;N(c1nnc(-c2cccs2)s1);O=C(Nc1nnc(-c2cccs2)s1)Nc1ccc(Cl)cc1Cl
COc1ccccc1CNC(=O)*;C(Oc1ccccc1C(N)=O);COc1ccccc1CNC(=O)COc1ccccc1C(N)=O
O=c1[nH]c2ccccc2c(=O)n1*;C(CSc1nc2ccccc2s1);O=c1[nH]c2ccccc2c(=O)n1CCSc1nc2ccccc2s1
O=C(c1noc2c1CCCCC2)*;N(c1cc(Br)ccc1O);O=C(Nc1cc(Br)ccc1O)c1noc2c1CCCCC2
Cc1ccc(-c2nnc(S*)o2)cc1C;C(C(=O)NCCC(C)C);Cc1ccc(-c2nnc(SCC(=O)NCCC(C)C)o2)cc1C
Cc1cc(Cl)ccc1O[C@@H](C)*;C(=O)(Nc1ccc(F)cc1);Cc1cc(Cl)ccc1O[C@@H](C)C(=O)Nc1ccc(F)cc1
COc1ccccc1C*;N(S(=O)(=O)c1c[nH]cn1);COc1ccccc1CNS(=O)(=O)c1c[nH]cn1
O=C(CO*)Nc1ccccc1F;C(=O)(c1cnc(Cl)c(Cl)c1);O=C(COC(=O)c1cnc(Cl)c(Cl)c1)Nc1ccccc1F
CC(C)[C@@H](C*)c1ccc(Cl)cc1;C([NH2+]Cc1ccccn1);CC(C)[C@@H](CC[NH2+]Cc1ccccn1)c1ccc(Cl)cc1
NC(=O)c1oc2ccccc2c1*;N(C(=O)CCOc1ccccc1);NC(=O)c1oc2ccccc2c1NC(=O)CCOc1ccccc1
Cc1cccc(C)c1NC(=O)*;O(CCc1ccccn1);Cc1cccc(C)c1NC(=O)OCCc1ccccn1
COc1ccccc1OCC(=O)*;N(c1ccc(S(C)(=O)=O)cc1);COc1ccccc1OCC(=O)Nc1ccc(S(C)(=O)=O)cc1
C[C@H](OC(=O)c1ccc2ncsc2c1)*;C(=O)(NCc1ccccc1);C[C@H](OC(=O)c1ccc2ncsc2c1)C(=O)NCc1ccccc1
Nc1ccccc1C(=O)OC*;C(=O)(Nc1ccccc1F);Nc1ccccc1C(=O)OCC(=O)Nc1ccccc1F
COc1cc(C)c(Cl)cc1*;S(=O)(=O)(NC1CCCCC1);COc1cc(C)c(Cl)cc1S(=O)(=O)NC1CCCCC1
O=C(NCC*)NC1CCCCC1;C(CNC(=O)NC1CCCCC1);O=C(NCCCCNC(=O)NC1CCCCC1)NC1CCCCC1
Cc1[nH]c2ccccc2c1*;C(=O)([C@@H](C)Sc1nncs1);Cc1[nH]c2ccccc2c1C(=O)[C@@H](C)Sc1nncs1
O=C([O-])[C@H]1[C@H]2CC[C@H](C2)[C@@H]1*;C(=O)(NCc1cccs1);O=C([O-])[C@H]1[C@H]2CC[C@H](C2)[C@@H]1C(=O)NCc1cccs1
O=C(N*)Nc1ccccc1;C(c1ccc2c(c1)OCO2);O=C(NCc1ccc2c(c1)OCO2)Nc1ccccc1
CC[C@@H](C)c1ccccc1N*;C(=O)(CSc1ccc(C)cc1);CC[C@@H](C)c1ccccc1NC(=O)CSc1ccc(C)cc1
O=C(Cc1coc2cc3c(cc12)CCC3)*;N(c1cc(F)ccc1F);O=C(Cc1coc2cc3c(cc12)CCC3)Nc1cc(F)ccc1F
C[C@H](c1ccco1)N(c1ccccn1)*;C(=O)(Nc1ccc(Cl)cc1);C[C@H](c1ccco1)N(C(=O)Nc1ccc(Cl)cc1)c1ccccn1
CCS(=O)(=O)NC[C@@H](c1ccco1)*;S(=O)(=O)(c1ccc(C)cc1);CCS(=O)(=O)NC[C@@H](c1ccco1)S(=O)(=O)c1ccc(C)cc1
O=C(N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12)*;N(c1ccc(C(F)(F)F)cc1);O=C(Nc1ccc(C(F)(F)F)cc1)N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12
O=C(C*)c1ccc2c(c1)OCCO2;S(c1ccc(F)c(Cl)c1);O=C(CSc1ccc(F)c(Cl)c1)c1ccc2c(c1)OCCO2
O=C([C@H]1C[C@H]1c1ccccc1)*;N(c1cc(Cl)ccc1Cl);O=C(Nc1cc(Cl)ccc1Cl)[C@H]1C[C@H]1c1ccccc1
O=C(C*)Nc1c(F)cccc1F;O(C(=O)c1ccc(Cl)c(Cl)c1);O=C(COC(=O)c1ccc(Cl)c(Cl)c1)Nc1c(F)cccc1F
C[C@H](NC(=O)*)c1ccccc1;C(CC(=O)NC[C@@H]1CCCO1);C[C@H](NC(=O)CCC(=O)NC[C@@H]1CCCO1)c1ccccc1
O=C(CSc1nc2ccccc2s1)N*;C(CCc1ccccc1);O=C(CSc1nc2ccccc2s1)NCCCc1ccccc1
Cc1cccc(C)c1NC(=O)*;C(NC(=O)c1cccs1);Cc1cccc(C)c1NC(=O)CNC(=O)c1cccs1
Cc1ccccc1O[C@H](C)*;C(C[C@H](C)[NH+]1CCCCC1);Cc1ccccc1O[C@H](C)CC[C@H](C)[NH+]1CCCCC1
CCc1cccc(CC)c1NC(=O)*;C(Oc1ncnc2sccc12);CCc1cccc(CC)c1NC(=O)COc1ncnc2sccc12
COc1ccc(C(C)=O)cc1C*;O(C(=O)c1cc(C)oc1C);COc1ccc(C(C)=O)cc1COC(=O)c1cc(C)oc1C
Cc1onc(-c2ccccc2)c1C(=O)*;N(c1ccc(Br)cc1F);Cc1onc(-c2ccccc2)c1C(=O)Nc1ccc(Br)cc1F
Cn1cccc1CN(C1CC1)*;C(=O)(c1ccc(Cl)c(Cl)c1);Cn1cccc1CN(C(=O)c1ccc(Cl)c(Cl)c1)C1CC1
C[C@H](N*)c1ccc(Cl)cc1Cl;S(=O)(=O)(c1ccccc1);C[C@H](NS(=O)(=O)c1ccccc1)c1ccc(Cl)cc1Cl
CC1(C)[C@]2(C)CC[C@@]1(C(=O)*)CC2=O;N(CCc1ccccc1);CC1(C)[C@]2(C)CC[C@@]1(C(=O)NCCc1ccccc1)CC2=O
O=C(C*)NCCCc1ccccc1;S(c1nc2ccccc2s1);O=C(CSc1nc2ccccc2s1)NCCCc1ccccc1
O=C(C*)Nc1c(F)c(F)c(F)c(F)c1F;O(C(=O)c1ccc(Br)o1);O=C(COC(=O)c1ccc(Br)o1)Nc1c(F)c(F)c(F)c(F)c1F
CC(C)=C1[C@H]2C=C[C@@H]1[C@H](C(=O)*)[C@H]2C(=O)[O-];N(c1cccc(C)c1C);CC(C)=C1[C@H]2C=C[C@@H]1[C@H](C(=O)Nc1cccc(C)c1C)[C@H]2C(=O)[O-]
C[C@@H](C(=O)N1c2ccccc2C[C@@H]1C)*;S(c1nc2ccccc2[nH]1);C[C@H](Sc1nc2ccccc2[nH]1)C(=O)N1c2ccccc2C[C@@H]1C
Cc1cc([O-])c(S*)c(=O)o1;C(F)(F)([C@@H](F)C(F)(F)F);Cc1cc([O-])c(SC(F)(F)[C@@H](F)C(F)(F)F)c(=O)o1
CC[C@](C)(C(=O)NC1CCCCC1)*;N(C)(C(=O)c1ccccn1);CC[C@](C)(C(=O)NC1CCCCC1)N(C)C(=O)c1ccccn1
O=C(OCC(=O)c1ccc(Cl)s1)*;C(NC(=O)c1ccco1);O=C(CNC(=O)c1ccco1)OCC(=O)c1ccc(Cl)s1
COC(=O)c1ccccc1N*;C(=O)(Nc1ccccc1C);COC(=O)c1ccccc1NC(=O)Nc1ccccc1C
C[C@@H](c1ccc2ccccc2c1)*;N(C(=O)c1cccc(F)c1);C[C@H](NC(=O)c1cccc(F)c1)c1ccc2ccccc2c1
O=C(C*)Nc1nc2ccccc2[nH]1;N(C(=O)c1ccccc1Br);O=C(CNC(=O)c1ccccc1Br)Nc1nc2ccccc2[nH]1
O=C(c1nc(-c2ccc(F)cc2)no1)*;N(CCCn1ccnc1);O=C(NCCCn1ccnc1)c1nc(-c2ccc(F)cc2)no1
O=C(Cc1ccc(Cl)cc1)NC*;C(CNC(=O)c1ccccn1);O=C(Cc1ccc(Cl)cc1)NCCCNC(=O)c1ccccn1
Cc1ccccc1NC(=O)C*;O(C(=O)c1ccccc1F);Cc1ccccc1NC(=O)COC(=O)c1ccccc1F
CCn1nc(C(F)(F)F)cc1C(=O)*;N(C)(Cc1c(Br)cnn1C);CCn1nc(C(F)(F)F)cc1C(=O)N(C)Cc1c(Br)cnn1C
COc1ccc(Cl)cc1N*;C(=O)(c1nn(C)cc1I);COc1ccc(Cl)cc1NC(=O)c1nn(C)cc1I
C[C@H]1Cc2ccccc2N1C(=O)C*;O(c1cccc(C#N)c1);C[C@H]1Cc2ccccc2N1C(=O)COc1cccc(C#N)c1
O=C([O-])CN(S(=O)(=O)c1ccccc1)*;C(c1ccc(Cl)c(Cl)c1);O=C([O-])CN(Cc1ccc(Cl)c(Cl)c1)S(=O)(=O)c1ccccc1
O=C(Cc1c(F)cccc1Cl)*;N(c1ccc(F)c(F)c1);O=C(Cc1c(F)cccc1Cl)Nc1ccc(F)c(F)c1
Cn1cnnc1SCC(=O)*;N(c1ccc(Br)cc1F);Cn1cnnc1SCC(=O)Nc1ccc(Br)cc1F
O=S(=O)(c1ccc(Br)s1)*;N(Cc1ccc(Cl)cc1);O=S(=O)(NCc1ccc(Cl)cc1)c1ccc(Br)s1
COC(=O)c1ccccc1NC(=O)*;N(CCc1ccccc1OC);COC(=O)c1ccccc1NC(=O)NCCc1ccccc1OC
COC(=O)[C@](O)(C*)C(F)(F)F;C(=O)(Nc1ccc(Br)cc1);COC(=O)[C@](O)(CC(=O)Nc1ccc(Br)cc1)C(F)(F)F
O=C(NCC*)c1ccccc1;S(=O)(=O)(NC[C@H]1CCCO1);O=C(NCCS(=O)(=O)NC[C@H]1CCCO1)c1ccccc1
O=C(N1CCCc2ccccc21)*;C(Oc1ccccc1Cl);O=C(COc1ccccc1Cl)N1CCCc2ccccc21
C[C@@H](NC(=O)c1ccc(Br)o1)*;C(NC(=O)c1ccc(Br)o1);C[C@H](CNC(=O)c1ccc(Br)o1)NC(=O)c1ccc(Br)o1
CC(=O)c1cc2c(cc1[N-]*)OCCO2;S(=O)(=O)(c1ccc(C)cc1);CC(=O)c1cc2c(cc1[N-]S(=O)(=O)c1ccc(C)cc1)OCCO2
O=C(NCc1ccccc1Cl)*;C(N1CCCc2ccccc21);O=C(CN1CCCc2ccccc21)NCc1ccccc1Cl
Cc1c(C(=O)*)oc2ccccc12;O(CC(=O)NC(C)(C)C);Cc1c(C(=O)OCC(=O)NC(C)(C)C)oc2ccccc12
C[C@@H]1CCCCN1C(=O)*;C(Oc1ccccc1F);C[C@@H]1CCCCN1C(=O)COc1ccccc1F
C[C@H](C(=O)c1ccc(Cl)cc1)*;S(c1nc(N)cc(N)n1);C[C@@H](Sc1nc(N)cc(N)n1)C(=O)c1ccc(Cl)cc1
O=C(c1cc(F)c(F)cc1Cl)*;O(CC(=O)N1CCCCCC1);O=C(OCC(=O)N1CCCCCC1)c1cc(F)c(F)cc1Cl
CCOc1ccccc1NC(=O)*;C(OC(=O)c1ccccc1C);CCOc1ccccc1NC(=O)COC(=O)c1ccccc1C
COc1cc(C(C)=O)ccc1OC*;C(=O)(Nc1ccc(F)cc1F);COc1cc(C(C)=O)ccc1OCC(=O)Nc1ccc(F)cc1F
COc1ccc(Cl)cc1*;N(CC(=O)[O-])(S(C)(=O)=O);COc1ccc(Cl)cc1N(CC(=O)[O-])S(C)(=O)=O
C[C@@H](O*)C(=O)Nc1ccc(C(N)=O)cc1;C(=O)(c1ccc(O)cc1);C[C@@H](OC(=O)c1ccc(O)cc1)C(=O)Nc1ccc(C(N)=O)cc1
C[C@H](OC(=O)c1cccc(O)c1)C(=O)*;N(c1ccccc1C#N);C[C@H](OC(=O)c1cccc(O)c1)C(=O)Nc1ccccc1C#N
C[C@H](Sc1ccc(Cl)cc1)*;C(=O)(Nc1cccnc1);C[C@H](Sc1ccc(Cl)cc1)C(=O)Nc1cccnc1
CC(=O)c1ccccc1NC(=O)*;C(c1cccc(C(F)(F)F)c1);CC(=O)c1ccccc1NC(=O)Cc1cccc(C(F)(F)F)c1
CCOC(=O)c1noc(C)c1*;C(=O)(Nc1cc(C)cc(C)n1);CCOC(=O)c1noc(C)c1C(=O)Nc1cc(C)cc(C)n1
CCOC(=O)[C@@H]1CCCC[NH+]1*;C(c1ccc(OC)cc1);CCOC(=O)[C@@H]1CCCC[NH+]1Cc1ccc(OC)cc1
Cc1cccc(C)c1OCCC*;C(n1c(CO)nc2ccccc12);Cc1cccc(C)c1OCCCCn1c(CO)nc2ccccc21
O=C([O-])[C@@H]1CCCC[C@H]1C(=O)*;N(C12CC3CC(CC(C3)C1)C2);O=C([O-])[C@@H]1CCCC[C@H]1C(=O)NC12CC3CC(CC(C3)C1)C2
C[C@H]1Cc2ccccc2N1*;C(=O)(CSc1nnnn1C);C[C@H]1Cc2ccccc2N1C(=O)CSc1nnnn1C
COc1ccccc1CNC(=O)*;C(Oc1ccc(C)cc1OC);COc1ccccc1CNC(=O)COc1ccc(C)cc1OC
C=CCNC(=O)[C@@H]1CCCN1*;S(=O)(=O)(c1ccc(Cl)cc1);C=CCNC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(Cl)cc1
O=C(NCc1ccc(Cl)cc1)*;C(Sc1n[nH]c(=O)[nH]c1=O);O=C(CSc1n[nH]c(=O)[nH]c1=O)NCc1ccc(Cl)cc1
CN(C[C@H]1COc2ccccc2O1)*;C(=O)(Cc1ccccc1F);CN(C[C@H]1COc2ccccc2O1)C(=O)Cc1ccccc1F
Cc1nc2ccccn2c1C(=O)*;C(Sc1ccc(Cl)cc1);Cc1nc2ccccn2c1C(=O)CSc1ccc(Cl)cc1
Cn1c(-c2ccccc2)cnc1*;S(CC(=O)c1ccc(F)cc1);Cn1c(-c2ccccc2)cnc1SCC(=O)c1ccc(F)cc1
NC(=O)c1ccsc1NC(=O)C*;O(C(=O)c1cc2c(s1)CCCC2);NC(=O)c1ccsc1NC(=O)COC(=O)c1cc2c(s1)CCCC2
CCCC[C@H](CC)C(=O)N*;C(c1ccc2c(c1)OCO2);CCCC[C@H](CC)C(=O)NCc1ccc2c(c1)OCO2
Cc1nn(C)cc1S(=O)(=O)*;N(Cc1cccc(Cl)c1);Cc1nn(C)cc1S(=O)(=O)NCc1cccc(Cl)c1
CC(C)c1nc2ccccc2n1*;C(C(=O)Nc1ccc(F)cc1);CC(C)c1nc2ccccc2n1CC(=O)Nc1ccc(F)cc1
CCOC(=O)c1nc[nH]c1*;C(=O)(NC1CCCCC1);CCOC(=O)c1nc[nH]c1C(=O)NC1CCCCC1
C(=O)(N[C@@H]1CCCc2ccccc21)*;COc1ccccc1OC;COc1ccccc1OCC(=O)N[C@@H]1CCCc2ccccc21
Cc1ccccc1NC(=O)C*;[NH2+]([C@H]1CCCc2ccccc21);Cc1ccccc1NC(=O)C[NH2+][C@H]1CCCc2ccccc21
O=S(=O)(c1ccc(Cl)cc1)*;N(Cc1ccccc1F);O=S(=O)(NCc1ccccc1F)c1ccc(Cl)cc1
CC(C(F)(F)F)(C(F)(F)F)*;N(C(=O)NC[C@@H]1CCCO1);CC(NC(=O)NC[C@@H]1CCCO1)(C(F)(F)F)C(F)(F)F
